"variable","r_class","source_label","value_labels","rows","source_NA","negative_numeric_codes","numeric_min","numeric_max","distinct_nonmissing_numeric"
"B_COUNTRY","haven_labelled vctrs_vctr double","ISO 3166-1 numeric country code","Albania=8 | Andorra=20 | Azerbaijan=31 | Argentina=32 | Australia=36 | Austria=40 | Bangladesh=50 | Armenia=51 | Bolivia=68 | Bosnia Herzegovina=70 | Brazil=76 | Bulgaria=100 | Myanmar=104 | Belarus=112 | Canada=124 | Chile=152 | China=156 | Taiwan ROC=158 | Colombia=170 | Croatia=191 | Cyprus=196 | Czechia=203 | Denmark=208 | Ecuador=218 | Ethiopia=231 | Estonia=233 | Finland=246 | France=250 | Georgia=268 | Germany=276 | Greece=300 | Guatemala=320 | Hong Kong SAR=344 | Hungary=348 | Iceland=352 | India=356 | Indonesia=360 | Iran=364 | Iraq=368 | Italy=380 | Japan=392 | Kazakhstan=398 | Jordan=400 | Kenya=404 | South Korea=410 | Kyrgyzstan=417 | Lebanon=422 | Latvia=428 | Libya=434 | Lithuania=440 | Macau SAR=446 | Malaysia=458 | Maldives=462 | Mexico=484 | Mongolia=496 | Montenegro=499 | Morocco=504 | Netherlands=528 | New Zealand=554 | Nicaragua=558 | Nigeria=566 | Norway=578 | Pakistan=586 | Peru=604 | Philippines=608 | Poland=616 | Portugal=620 | Puerto Rico=630 | Romania=642 | Russia=643 | Serbia=688 | Singapore=702 | Slovakia=703 | Vietnam=704 | Slovenia=705 | Zimbabwe=716 | Spain=724 | Sweden=752 | Switzerland=756 | Tajikistan=762 | Thailand=764 | Tunisia=788 | Turkey=792 | Ukraine=804 | North Macedonia=807 | Egypt=818 | Great Britain=826 | United States=840 | Uruguay=858 | Uzbekistan=860 | Venezuela=862 | Northern Ireland=909",97220,0,0,20,909,66
"B_COUNTRY_ALPHA","character","ISO 3166-1 alpha-3 country code",,97220,0,,,,0
"Q165","haven_labelled vctrs_vctr double","Believe in: God","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | Yes=1 | No=2",97220,0,4691,-5,2,6
"Q166","haven_labelled vctrs_vctr double","Believe in: life after death","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | Yes=1 | No=2",97220,0,7595,-5,2,6
"Q167","haven_labelled vctrs_vctr double","Believe in: hell","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | Yes=1 | No=2",97220,0,7144,-5,2,6
"Q168","haven_labelled vctrs_vctr double","Believe in: heaven","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | Yes=1 | No=2",97220,0,6971,-5,2,6
"Q177","haven_labelled vctrs_vctr double","Justifiable: Claiming government benefits to which you are not entitled","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,1688,-5,10,13
"Q178","haven_labelled vctrs_vctr double","Justifiable: Avoiding a fare on public transport","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,3539,-5,10,14
"Q179","haven_labelled vctrs_vctr double","Justifiable: Stealing property","Missing; Not available=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,905,-5,10,13
"Q180","haven_labelled vctrs_vctr double","Justifiable: Cheating on taxes","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,1279,-5,10,13
"Q181","haven_labelled vctrs_vctr double","Justifiable: Someone accepting a bribe in the course of their duties","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,1194,-5,10,13
"Q182","haven_labelled vctrs_vctr double","Justifiable: Homosexuality","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,7515,-5,10,14
"Q183","haven_labelled vctrs_vctr double","Justifiable: Prostitution","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,8751,-5,10,14
"Q184","haven_labelled vctrs_vctr double","Justifiable: Abortion","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,2275,-5,10,13
"Q185","haven_labelled vctrs_vctr double","Justifiable: Divorce","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,1929,-5,10,13
"Q186","haven_labelled vctrs_vctr double","Justifiable: Sex before marriage","Missing; Not available=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,4814,-5,10,14
"Q187","haven_labelled vctrs_vctr double","Justifiable: Suicide","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,2366,-5,10,13
"Q188","haven_labelled vctrs_vctr double","Justifiable: Euthanasia","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,3974,-5,10,13
"Q189","haven_labelled vctrs_vctr double","Justifiable: For a man to beat his wife","Missing; Not available=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,4076,-5,10,14
"Q190","haven_labelled vctrs_vctr double","Justifiable: Parents beating children","Missing; Not available=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,1034,-5,10,13
"Q191","haven_labelled vctrs_vctr double","Justifiable: Violence against other people","Missing; Not available=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,1022,-5,10,13
"Q192","haven_labelled vctrs_vctr double","Justifiable: Terrorism as a political, ideological or religious mean","Missing; Not available=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,4523,-5,10,13
"Q193","haven_labelled vctrs_vctr double","Justifiable: Having casual sex","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,7750,-5,10,14
"Q194","haven_labelled vctrs_vctr double","Justifiable: Political violence","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,4793,-5,10,13
"Q195","haven_labelled vctrs_vctr double","Justifiable: Death penalty","Other missing; Multiple answers Mail (EVS)=-5 | Not asked in survey=-4 | No answer=-2 | Don't know=-1 | Never justifiable=1 | 2=2 | 3=3 | 4=4 | 5=5 | 6=6 | 7=7 | 8=8 | 9=9 | Always justifiable=10",97220,0,2469,-5,10,13
"Q260","haven_labelled vctrs_vctr double","Sex","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | Male=1 | Female=2",97220,0,95,-5,2,5
"Q262","haven_labelled vctrs_vctr double","Age","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1",97220,0,511,-5,103,89
"Q263","haven_labelled vctrs_vctr double","Respondent immigrant","Other missing; Multiple answers Mail (EVS)=-5 | Not asked=-4 | No answer=-2 | Don't know=-1 | I am born in this country=1 | I am an immigrant to this country (born outside this country)=2",97220,0,384,-5,2,5
