"variable","display_name","topic","analysis_type","correlation_eligible","correlation_representation"
"Q18","One of my main goals in life has been to make my parents proud","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q19","Parents have a duty to do their best for their children","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q20","Respect and love for parents regardless of their qualities and faults","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q21","Men make better political leaders than women do","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q22","University is more important for a boy than for a girl","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q23","Men make better business executives than women do","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q24","Being a housewife is just as fulfilling as working for pay","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q25","When jobs are scarce, men should have more right to a job than women","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q26","It is a problem if women have more income than their husbands","Social values, norms and stereotypes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q165","Believe in: God","Religious values","binary",TRUE,"No = 0; Yes = 1"
"Q166","Believe in: life after death","Religious values","binary",TRUE,"No = 0; Yes = 1"
"Q167","Believe in: hell","Religious values","binary",TRUE,"No = 0; Yes = 1"
"Q168","Believe in: heaven","Religious values","binary",TRUE,"No = 0; Yes = 1"
"Q177","Justifiable: Claiming government benefits to which you are not entitled","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q178","Justifiable: Avoiding a fare on public transport","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q179","Justifiable: Stealing property","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q180","Justifiable: Cheating on taxes","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q181","Justifiable: Someone accepting a bribe in the course of their duties","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q182","Justifiable: Homosexuality","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q183","Justifiable: Prostitution","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q184","Justifiable: Abortion","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q185","Justifiable: Divorce","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q186","Justifiable: Sex before marriage","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q187","Justifiable: Suicide","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q188","Justifiable: Euthanasia","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q189","Justifiable: For a man to beat his wife","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q190","Justifiable: Parents beating children","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q191","Justifiable: Violence against other people","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q192","Justifiable: Terrorism as a political, ideological or religious mean","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q193","Justifiable: Having casual sex","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q194","Justifiable: Political violence","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q195","Justifiable: Death penalty","Ethical values","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q238","Having a strong leader who does not have to bother with parliament and elections","Political culture and political regimes","ordinal",TRUE,"Ordered response categories represented by their WorldView order"
"Q260","Sex","Demographic and socioeconomic variables","binary",TRUE,"Female = 0; Male = 1"
"Q262","Age","Demographic and socioeconomic variables","integer",TRUE,"Processed integer value"
"Q263","Respondent immigrant","Demographic and socioeconomic variables","binary",TRUE,"Immigrant = 0; born in this country = 1"
"Q275","Highest educational level: Respondent [ISCED 2011]","Demographic and socioeconomic variables","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q288","Scale of incomes","Demographic and socioeconomic variables","ordinal",TRUE,"Categories represented by their WorldView order, beginning at 1"
"Q289","Religious denominations - major groups","Demographic and socioeconomic variables","nominal",FALSE,"Not available for Pearson correlation"
