Col_ID,Section,Display_to_Users,In_Final_Individual_Dataset,Dropped_or_Not_Displayed_Reason,Manual_Display_Type,Processed_Data_Type,Short_Label,WVS_Variable_Title,Question_Text,Additional_Text,Original_Response_Options_Including_Missing,Processed_Response_Values,Processing_Notes,Missing_Data_Handling,ColLab,Source
Q165,RELIGIOUS VALUES,True,True,,factor,numeric,Belief in God,Believe in: God,"In which of the following things do you believe, if you believe in any? - God",,1 = Yes; 2 = No; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,0 = No; 1 = Yes,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q165-Believe in: God,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q166,RELIGIOUS VALUES,True,True,,factor,numeric,Belief in life after death,Believe in: life after death,"In which of the following things do you believe, if you believe in any? - Life after death",,1 = Yes; 2 = No; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,0 = No; 1 = Yes,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q166-Believe in: life after death,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q167,RELIGIOUS VALUES,True,True,,factor,numeric,Belief in Hell,Believe in: hell,"In which of the following things do you believe, if you believe in any? - Hell",,1 = Yes; 2 = No; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,0 = No; 1 = Yes,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q167-Believe in: hell,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q168,RELIGIOUS VALUES,True,True,,factor,numeric,Belief in Heaven,Believe in: heaven,"In which of the following things do you believe, if you believe in any? - Heaven",,1 = Yes; 2 = No; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,0 = No; 1 = Yes,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q168-Believe in: heaven,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q177,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for claiming government benefits not entitled to,Justifiable: Claiming government benefits to which you are not entitled,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Claiming government benefits to which you are not entitled","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q177-Justifiable: Claiming government benefits to which you are not entitled,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q178,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for avoiding a fare on public transport,Justifiable: Avoiding a fare on public transport,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q178-Justifiable: Avoiding a fare on public transport,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q179,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for stealing property,Justifiable: Stealing property,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Stealing property","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q179-Justifiable: Stealing property,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q180,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for cheating on taxes,Justifiable: Cheating on taxes,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q180-Justifiable: Cheating on taxes,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q181,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for accepting a bribe in the course of duties,Justifiable: Someone accepting a bribe in the course of their duties,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q181-Justifiable: Someone accepting a bribe in the course of their duties,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q182,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for homosexuality,Justifiable: Homosexuality,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q182-Justifiable: Homosexuality,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
